"name","sku","memory_capacity","memory_speed","dram_module_brand"
"Elpida DDR1 1GB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506023430","1GB","","Blank"
"Elpida DDR1 1GB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506024238","1GB","","Blank"
"Elpida DDR1 1GB PC 3200S 400MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506024641","1GB","","Blank"
"Elpida DDR2 2GB 2048MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506032851","2GB","","Blank"
"Elpida DDR2 2GB 2048MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506033136","2GB","","Blank"
"Elpida DDR2 4GB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506033326","4GB","","Blank"
"Elpida DDR2 4GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506033740","4GB","","Blank"
"Elpida DDR2 4GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506033940","4GB","","Blank"
"Elpida DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506035129","1GB","","Blank"
"Elpida DDR2 1GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506035411","1GB","","Blank"
"Elpida DDR2 2GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506035822","2GB","","Blank"
"Elpida DDR2 2GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506040107","2GB","","Blank"
"Elpida DDR2 2GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506040743","2GB","","Blank"
"Elpida DDR2 4GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506041052","4GB","","Blank"
"Elpida DDR2 4GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506043102","4GB","","Blank"
"Elpida DDR2 4GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506043242","4GB","","Blank"
"Elpida DDR2 512MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506043448","512MB","","Blank"
